"shortname","formalname"
кв-л,"220"
кв-л,"1"
тер.,СНТ Нива
тер,СНТ Киселево
тер.,СНТ Пахра
кв-л,"83"
кв-л,"35"
кв-л,"610"
кв-л,"73"
кв-л,"80"
кв-л,"63"
кв-л,"375"
кв-л,"216"
кв-л,"456"
кв-л,"36"
кв-л,"7"
кв-л,"135"
кв-л,"258"
кв-л,"13"
кв-л,"40"
кв-л,"84"
тер,СНТ Лесная поляна
тер.,СНТ Луч
кв-л,"6"
кв-л,"457"
кв-л,"80"
кв-л,"253"
кв-л,"381"
кв-л,"608"
тер,СНТ Южное
кв-л,"5"
кв-л,"247"
кв-л,"81"
кв-л,"37"
тер.,СНТ Луч
кв-л,"11"
кв-л,"363"
кв-л,"4"
кв-л,"91"
кв-л,"60"
тер.,СНТ Жемчужина
кв-л,"594"
кв-л,"240"
кв-л,"67"
кв-л,"130"
кв-л,"10"
кв-л,"458"
кв-л,"94"
кв-л,"82"
кв-л,"361"
тер,СНТ Садовод
кв-л,"3"
кв-л,"55"
кв-л,"206"
кв-л,"41"
тер,СНТ Ресурс-1
тер,СНТ Яковлево
гск,Олимпийский-2
кв-л,"82"
кв-л,"129"
кв-л,"2"
кв-л,"239"
кв-л,"83"
кв-л,"596"
кв-л,"459"
тер.,СНТ Желетовка
кв-л,"359"
кв-л,"54"
кв-л,"83"
кв-л,"68"
кв-л,"202"
кв-л,"128"
кв-л,"95"
кв-л,"53"
кв-л,"602"
тер.,ДНП Витязь
кв-л,"42"
кв-л,"84"
кв-л,"238"
тер.,СНТ Мичуринец
снт,Сад 3 Подольского электромех-го завода
кв-л,"358"
тер.,СНТ Чириково-2
кв-л,"1"
кв-л,"70"
кв-л,"74"
кв-л,"237"
кв-л,"11"
тер.,СНТ Чириково-1
кв-л,"201"
кв-л,"357"
кв-л,"96"
кв-л,"75"
тер,СНТ Гудок
тер.,СНТ Ручеек
кв-л,"110"
кв-л,"127"
тер.,СНТ Содружество
кв-л,"18"
кв-л,"230"
кв-л,"200"
кв-л,"43"
кв-л,"604"
кв-л,"85"
кв-л,"84"
кв-л,"7"
кв-л,"466"
кв-л,N227
кв-л,"52"
кв-л,"77"
кв-л,"111"
кв-л,"353"
кв-л,"112"
кв-л,"6"
кв-л,"218"
кв-л,"17"
кв-л,"86"
кв-л,"314"
кв-л,"44"
кв-л,"198"
кв-л,"5"
кв-л,"16"
кв-л,"126"
кв-л,"51"
кв-л,"4"
кв-л,"78"
кв-л,"125"
снт,СНТ Восход тер.
кв-л,"213"
кв-л,"349"
тер.,СНТ Отдых
кв-л,"15"
кв-л,"211"
кв-л,"195"
кв-л,"606"
снт,АГРО
кв-л,"45"
кв-л,"79"
кв-л,"50"
кв-л,"120"
тер,ДНП Луговое 2
кв-л,"20"
кв-л,"348"
кв-л,"208"
кв-л,"83"
кв-л,"189"
тер.,СПК Криптон
кв-л,"23"
тер.,СНТ Малые Поляны
кв-л,"88"
кв-л,"121"
кв-л,"49"
тер,ТСЖ Заречное
кв-л,"122"
кв-л,"47"
кв-л,"347"
кв-л,"205"
кв-л,"46"
кв-л,"588"
кв-л,"22"
тер.,СПК Красная Пахра
тер,СНТ Толстопальцево-4
кв-л,"84"
кв-л,"185"
кв-л,"202"
тер.,ДСК Озон
кв-л,"181"
тер.,СНТ Поляна
тер.,СНТСН Полет-89
кв-л,"85"
тер,СНТ Монтажник-81
кв-л,"100"
кв-л,"177"
снт,Радость
кв-л,"176"
кв-л,"86"
кв-л,"21"
тер. СНТ,Буревестник
тер. СНТ,Спектр
кв-л,"192"
кв-л,"123"
кв-л,"49"
кв-л,"551"
кв-л,"26"
тер. СНТ,Причал
кв-л,"172"
кв-л,"45"
тер.,СНТ Заречье
кв-л,"552"
тер. СПК,Малинки
кв-л,"87"
кв-л,"188"
кв-л,"25"
тер.,СНТ Интернационалист
кв-л,"124"
кв-л,"171"
тер,СНТ Поляна
кв-л,"170"
кв-л,"556"
тер.,СНТ Музыкант
кв-л,"89"
кв-л,"53"
кв-л,"185"
кв-л,"44"
кв-л,"125"
снт,Связист-1
кв-л,"99"
сквер,Дмитрия Михайлика
кв-л,"558"
тер.,СНТ Здоровье ВОИ
кв-л,"44"
кв-л,"90"
кв-л,"98"
кв-л,"54"
тер. СНТ,Энергетик
кв-л,"78"
кв-л,"582"
кв-л,"43"
тер.,СНТ Юбилейный
кв-л,"40"
кв-л,"126"
кв-л,"3"
кв-л,"55"
кв-л,"92"
кв-л,"42"
кв-л,"580"
кв-л,"39"
тер,СНТ Оптимист
тер. СПК,Росинтер 1
кв-л,"61"
кв-л,"579"
тер.,СНТ Луч
кв-л,"37"
кв-л,"77"
кв-л,"41"
тер. СНТ,Мараховка
кв-л,"96"
кв-л,"127"
кв-л,"170"
кв-л,"76"
кв-л,"584"
тер,ЖСКИЗ Пахра
кв-л,"35"
кв-л,"557"
тер. СНТ,Лесная Поляна
кв-л,"97"
кв-л,"160"
тер,СНТ Рубин
кв-л,"98"
тер.,ДНП Мастер
снт,Осинка
тер,СНТ Родник-1
кв-л,"64"
кв-л,"75"
кв-л,"559"
кв-л,"130"
кв-л,"159"
кв-л,"99"
кв-л,"34"
кв-л,"100"
тер,СНТ Газовик
тер,СНТ Ожигово
кв-л,"33"
кв-л,"564"
кв-л,"65"
тер,СНТ Яблонька
кв-л,"101"
кв-л,"74"
кв-л,"131"
кв-л,"32"
кв-л,"577"
тер,ПК Юпитер-1
тер.,СНТ Беляево
кв-л,"102"
кв-л,"66"
кв-л,"132"
тер.,ДСК Отдых
кв-л,"72"
кв-л,"575"
кв-л,"71"
кв-л,"31"
тер,ДНП Сатинские пруды
кв-л,"67"
тер.,СНТ Зеленые Дубки
кв-л,"103"
снт,Орион
тер,ТИЗ Чароит
кв-л,"30"
кв-л,"104"
кв-л,"571"
тер.,КИЗК Коттедж
снт,Новинки
кв-л,"133"
кв-л,"69"
кв-л,"569"
кв-л,"69"
тер.,СНТ Артсервис
тер.,СНТ Сады Покровские
тер,ДНТ Булгаков
тер,КИЗ Горизонт
кв-л,"561"
кв-л,"135"
кв-л,"65"
кв-л,"140"
кв-л,"106"
кв-л,"63"
кв-л,"141"
кв-л,"107"
кв-л,"572"
кв-л,"110"
кв-л,"112"
кв-л,"143"
кв-л,"192"
кв-л,"62"
кв-л,"115"
кв-л,"550"
кв-л,"60"
кв-л,"545"
кв-л,"542"
кв-л,"116"
тер,СНТ Строитель
тер,СНТ Дружба-Киевское шоссе 41 км
снт,Юннат-2
кв-л,"532"
кв-л,"57"
тер,ТСЖ Лесная поляна-2
кв-л,"530"
кв-л,"55"
кв-л,"540"
тер.,ДПК Десна
тер,СНТ Медик
кв-л,"528"
кв-л,"97"
кв-л,"54"
кв-л,"525"
кв-л,"521"
кв-л,"111"
тер.,СНТ Зеленые дубки-1
тер,ДНП НИАТ
тер.,ДНП Александровы пруды
тер.,СПК Ветераны Победы
снт,Филатов Луг-2
снт,им 70 летия ВЛКСМ
кв-л,"84"
тер,ТСН Берёзка
тер.,СПК Десна
кв-л,"205"
кв-л,"11"
кв-л,"70"
тер. СПК,Соколово
кв-л,"83"
тер,СНТ Сосновое МВД РФ
тер. ДНП,Творчество
тер,СТ Красный Октябрь
снт,Вятич
тер,СНТ Полет
тер.,СНТ Таксатор
тер. СНТ,Таксатор
тер.,СНТ Весна
тер,СНТ Нива-3
мкр.,Солнечный город-2
тер,НПИЗКП Озерный
тер,СНТ Росинка
тер. ДПК,Мирный
кв-л,"109"
тер,СНТ Отдых
снт,Поляна
снт,Тупичок-2
снт,Музыкант
мкр.,Солнечный город-1
тер,ДНП ЮВМ
тер.,СНТ Марушкино-92
тер,СНТ Газопровод
кв-л,"65"
снт,Сальковское
тер,СНТ Рогово-2
тер.,СНТ Морозко
тер,СНТ Химический факультет МГУ
тер,СНТ Дубрава
кв-л,"1"
кв-л,"94"
кв-л,"93"
кв-л,"92"
кв-л,"91"
кв-л,"90"
кв-л,"89"
кв-л,"88"
кв-л,"82"
кв-л,"81"
кв-л,"80"
кв-л,"74"
кв-л,"73"
кв-л,"71"
кв-л,"202"
тер,СНТ Тяжмашевец
тер.,СНТ Коммунарка-1
кв-л,"39"
кв-л,"203"
кв-л,"38"
кв-л,"208"
кв-л,"37"
тер,СНТ Черный Луг
кв-л,"210"
кв-л,"36"
кв-л,"35"
тер,Марьинская птицефабрика ОАО
кв-л,"211"
тер,ОНТ Лески
кв-л,"212"
кв-л,"34"
тер,СПК Валуево
снт,Поиск-2
кв-л,"33"
кв-л,"216"
кв-л,"32"
кв-л,"220"
тер,ТЛПХ Зона Б
кв-л,"31"
кв-л,"30"
кв-л,"221"
кв-л,"222"
кв-л,"28"
кв-л,"223"
кв-л,"27"
кв-л,"224"
кв-л,"1"
кв-л,"2"
кв-л,"225"
кв-л,"5"
тер,СНТ Березки
кв-л,"6"
кв-л,"26"
кв-л,"53"
кв-л,"7"
кв-л,"227"
кв-л,"25"
тер,СНТ Маяк-Бурцево
кв-л,"8"
кв-л,"24"
кв-л,"228"
кв-л,"9"
кв-л,"10"
тер,НПСК Харино
кв-л,"230"
кв-л,"12"
кв-л,"54"
кв-л,"14"
снт,Высокое
кв-л,"231"
снт,Импульс-Голенищево
кв-л,"232"
кв-л,"15"
кв-л,"55"
кв-л,"18"
снт,Родничок
кв-л,"19"
кв-л,"234"
кв-л,"57"
кв-л,"235"
тер,СНТ Родник
тер,СНТ Мечта-С
кв-л,"56"
кв-л,"22"
кв-л,"23"
кв-л,"237"
кв-л,"157"
кв-л,"24"
тер,СНТ Радуга
кв-л,"25"
кв-л,"26"
кв-л,"238"
кв-л,"156"
тер,СТ Чайка
кв-л,"27"
кв-л,"239"
кв-л,"155"
кв-л,"250"
кв-л,"28"
кв-л,"29"
кв-л,"152"
кв-л,"255"
кв-л,"30"
тер,СНТ Строитель
тер,СНТ Авиасвязь
кв-л,"32"
кв-л,"149"
кв-л,"33"
кв-л,"256"
кв-л,"21"
кв-л,"35"
кв-л,"260"
кв-л,"139"
кв-л,"36"
кв-л,"261"
кв-л,"22"
кв-л,"37"
кв-л,"138"
кв-л,"38"
кв-л,"262"
тер,СНТ Родничок
тер,СНТ Овощевод
кв-л,"137"
тер,СК Маяк-Бурцево
кв-л,"263"
кв-л,"40"
кв-л,"136"
тер,СНТ Чёрный Луг
кв-л,"45"
кв-л,"135"
кв-л,"265"
тер,ДНП Валуево
кв-л,"134"
кв-л,"266"
кв-л,"133"
тер,СНТ Маяк
кв-л,"49"
кв-л,"268"
кв-л,"50"
кв-л,"110"
кв-л,"132"
кв-л,"131"
кв-л,"270"
кв-л,"51"
кв-л,"109"
кв-л,"130"
кв-л,"52"
кв-л,"271"
кв-л,"129"
кв-л,"280"
кв-л,"128"
кв-л,"53"
кв-л,"206"
кв-л,"281"
кв-л,"205"
кв-л,"55"
кв-л,"108"
кв-л,"60"
кв-л,"96"
кв-л,"191"
кв-л,"95"
кв-л,"93"
кв-л,"190"
кв-л,"92"
кв-л,"91"
кв-л,"90"
кв-л,"189"
кв-л,"187"
кв-л,"78"
кв-л,"183"
кв-л,"182"
кв-л,"76"
кв-л,"181"
кв-л,"75"
кв-л,"74"
кв-л,"72"
кв-л,"180"
кв-л,"70"
кв-л,"179"
кв-л,"120"
кв-л,"119"
кв-л,"178"
кв-л,"118"
кв-л,"117"
кв-л,"177"
кв-л,"116"
кв-л,"176"
кв-л,"115"
кв-л,"175"
кв-л,"112"
кв-л,"174"
кв-л,"68"
кв-л,"66"
кв-л,"65"
кв-л,"64"
кв-л,"62"
кв-л,"60"
кв-л,"58"
кв-л,"57"
кв-л,"56"
кв-л,"55"
кв-л,"53"
кв-л,"52"
снт,Сосны
тер.,СНТ Физик
днп,Ягодное-плюс
мкр,Солнечный городок
мкр,Березовая роща
снт,Лесное-Ватутинки
мкр,Центральный
снт,Березка--6
тер,СНТ Толстопальцево-5
мкр.,Солнечный
мкр.,Солнечный
тер,ДСПК Кленово
тер,СПК Пахра
тер.,СНТ Эколог
тер.,СНТ Тупичок-2
тер,СНТ Здоровье
мкр.,"3-й"
снт,Поиск
тер.,СНТ Локомотив
тер.,СНТ Восход
мкр.,"1-й"
тер.,СПК Поляна-98
тер,ТСЖ Писково-1
снт,Южное
тер.,СНТ Берендей
тер,ТИЗ Ватутинки
тер,ГСК Валуево
тер,СНТ Надежда ветеранов
тер,СНТ Крекшино ВВЦ
тер,СНТ Дружба
тер,ДСК Тетеринки-3
тер,СНТ Гавриково-1
гск,ГСК N1
тер.,СНТ Дубки
гск,Олимпиец
кв-л,Частный сектор
тер,ТИЗ Десна-3
гск,Ватутинки
тер.,СНТ Березка
снт,Киселево
мкр,Медведево
гск,Марьино-2
снт,Учитель
тер,СНТ Прокшино
гск,Марьино-3
тер.,СНТ Толстопальцево
снт,Русь
гск,Марьино-1
гск,Березка
тер,ТСЖ Лесная поляна-2
тер,СНТ Берёзка-Коммунарка-1
мкр.,Гора
гск,Валуево
тер,СНТ Царицыно
снт,Юпитер
тер.,СНТ Стрелец
снт,Родник
тер,жилой поселок ОАО Газпром
тер.,СНТ Нива-2
тер,СНТ Пахра
снт,Харьино
тер.,СНТ Ветераны Победы
снт,Мешково-Центральное
тер.,СНТ Яблоко-2
тер,СНТ Шеломово
тер,ГСК Коммунарка
снт,Полянка-Лапшинка
тер,ДНТ Завод имени Яковлева И И
гск,СК Маяк-Бурцево
тер,СНТ Южное
тер,СНТ Поиск
тер,ПК Газовик
тер.,СНТ Садовник
снт,Труд
тер.,Кладбища Свитино
тер,Курорт Михайловское
тер,СНТ Пенино-1
тер.,ЖСКИЗ Александрово
тер,СНТ Яковлево
снт,Связист
тер.,ТПУ Рассказовка
тер,ДНП Луговое-1
снт,Дорожник
тер.,ГППЗ Птичное
тер,СНТ Яблоко
тер,ДСК Тетеринки-2
тер,СНТ Лесные дали
тер. СНТ,Конверсия
тер,СНТ Поляна Ветеранов
тер.,СПК Ветеран
тер,СНТ Озерки
тер.,СНТ Беляево
тер,ЖСК Солнечный
тер.,СНТ Химик-1
тер,КИЗ Ваутутинки
тер,СНТ Световод
тер.,СНТ Лесная поляна
тер.,СНТ Огородник
тер,СНТ Бекасово
тер.,СНТ Сокол-1ВПО
снт,Родник-1
тер,СНТ Надежда 13 квартал
тер.,СНТ Михайловское
тер,ЖСК Заречный-2
тер,ЖСПК Березовая Роща
снт,ТЕР. СНТ Сосенка
тер,СНТ Сосны
тер.,СНТ Черемуха
тер,СПК Сад
тер,ОНТ Морковка
тер,ТСН Березка-55
мкр,Приозерный
тер,ЦАТСА
тер,СНТ Ракитки
тер,СНТ Победа-Потапово
тер.,СНТ Дружба
тер.,СНТ МСУ-28
тер,ПМК-30
тер,СНТ Бекас
тер.,СНТ Анино-2
тер.,СНТ Лесная поляна-2
тер,СНТ Рассвет
тер,СНТ Поиск-2
тер,СНТ Ракитки-1
тер.,СНТ Рассудовец
тер.,СНТ Дубки
тер,СНТ Полянка
тер.,СНТ Анино
снт,Лесное
тер,СНТ Чириково-2
тер,ТИЗ Яковлево-2
тер.,СНТ Вега
тер. СНТ,Крёкшино ВВЦ
снт,Искра-3
тер.,СНТ Фиалка
кв-л,"369"
тер.,СНТ Карачаровец
тер.,СПК Десна-1
тер.,СНТ Московский трубный завод
кв-л,"34"
кв-л,"52"
тер.,СНТ Дружба завода Красный Пролетарий
тер.,ДСК Эколь
тер.,СНТ Лель
тер.,СНТ Мичуринец
тер.,СНТ Дружба
кв-л,"73"
тер.,СНТ Ватутинки
кв-л,"21"
кв-л,"350"
тер.,СНТ Внуково
кв-л,"67"
тер. СНТ,Чистые пруды-2
кв-л,"48"
снт,Юность
тер,ДСК Советский писатель
кв-л,"442"
тер,СНТ Яблонька
кв-л,"653"
гск,Надежда
снт,Пыхчево
кв-л,"17"
тер. СНТ,Чистые пруды
гск,Полет
кв-л,"54"
кв-л,"359"
снт,Рассказовка
тер.,СНТ Метро
тер.,КИЗ Рябиновый
тер. СНТ,Шатры
гск,Сосна
гск,Троицк-Авто
гск,ГСК-7
гск,ГСК-17
тер.,СНТ Передельцы
гск,ГСК-19
гск,ГСК-16а
гск,ГСК-14
кв-л,"75"
тер.,СНТ Верховье
тер.,СНТ Десна
гск,Фабричный
гск,ГСК-16
гск,ГСК-4
гск,Красная Пахра
кв-л,"380"
гск,ГСК-5
гск,ГСК-6
тер.,СНТ Гипрохим
кв-л,"9"
гск,ГСК-12
гск,ГСК-9
гск,ГСК-18
гск,ГСК-3
кв-л,"12"
гск,ГСК-11
гск,ГСК-10
гск,ГСК-8
гск,ГСК-2
гск,ГСК-1
гск,ГСК-13
гск,Витязь
гск,Троицк-Авто-2
гск,Десна
гск,Комплекс
гск,Поле чудес
кв-л,"383"
кв-л,"65"
кв-л,"441"
кв-л,"46"
кв-л,"12"
кв-л,"85"
кв-л,"9"
кв-л,"45"
кв-л,"71"
кв-л,"240"
кв-л,"45"
кв-л,"311"
тер,СНТ Урожай
кв-л,"149"
кв-л,"1"
тер.,СНТ Керамик
кв-л,"67"
кв-л,"19"
кв-л,"431"
кв-л,"301"
кв-л,"61"
кв-л,"74"
тер.,СНТ Березка
тер.,СНТ Клен
кв-л,"1"
кв-л,"162"
кв-л,"300"
кв-л,"671"
кв-л,"25"
кв-л,"45"
кв-л,"60"
кв-л,"256"
тер.,СНТ Вороново
кв-л,"48"
кв-л,"260"
тер.,СНТ Белые березки
тер.,СНТ Луч
кв-л,"30"
кв-л,"56"
кв-л,"38"
тер. СНТ,Квант
кв-л,"32"
кв-л,"19"
кв-л,"22"
кв-л,"423"
кв-л,"41"
кв-л,"657"
кв-л,"40"
кв-л,"874"
тер.,СНТ Рогово-1
кв-л,"102"
тер.,СНТ Оазис
кв-л,"271"
кв-л,"51"
тер.,СПК Исток-2
кв-л,"184"
кв-л,"59"
тер.,СНТ Верхнее Акатово
кв-л,"412"
кв-л,"204"
кв-л,"709"
тер.,ДСПК Барский луг
кв-л,"882"
тер.,СНТ Мешково-Центральное
кв-л,"180"
кв-л,"19"
тер.,СНТ Вороновское
кв-л,"90"
кв-л,"170"
кв-л,"96"
тер.,СНТ Березово
кв-л,"253"
кв-л,"199"
кв-л,"177"
тер,СНТ Застройщик
кв-л,"250"
кв-л,"862"
кв-л,"70"
кв-л,"249"
кв-л,"98"
кв-л,"165"
кв-л,"25"
тер.,СНТ Киноцентр
кв-л,"73"
тер.,СНТ Квант
кв-л,"193"
кв-л,"886"
кв-л,"100"
кв-л,"151"
кв-л,"120"
кв-л,"150"
тер. СНТ,Ясенки-2
кв-л,"66"
кв-л,"854"
тер.,СНТ Аврора
кв-л,"15"
кв-л,"187"
кв-л,"79"
тер.,СНТ Девятское
кв-л,"326"
кв-л,"13"
тер.,СНТ Аркадия
кв-л,"12"
кв-л,"352"
кв-л,"146"
кв-л,"242"
тер.,СНТ Шалово
кв-л,"180"
тер. СНТ,Аэрофлот-1
кв-л,"130"
кв-л,"152"
тер.,СНТ Красная Звезда
кв-л,"81"
кв-л,"463"
тер.,СНТ Гавриково
кв-л,"703"
кв-л,"118"
кв-л,"9"
кв-л,"212"
кв-л,"340"
кв-л,"154"
тер.,СНТ Богородское-1
кв-л,"171"
кв-л,"5"
кв-л,"133"
тер.,СНТ Лукошкино ЗИО
кв-л,"9"
тер.,СНТ Мачихино
тер,СНТ N 7 ПМЗ
кв-л,"107"
кв-л,"200"
тер.,СНТ Белая дача
тер.,СПК Бунчиха
кв-л,"351"
кв-л,"116"
кв-л,"40"
кв-л,"124"
кв-л,"7"
кв-л,"230"
кв-л,"19"
тер. СНТ,Росинтер-2
кв-л,"35"
кв-л,"34"
кв-л,"337"
тер.,СНТ Весна-МК
кв-л,"151"
кв-л,"460"
кв-л,"224"
кв-л,"428"
кв-л,"8"
кв-л,"195"
тер.,СНТ Васюнино
тер,СНТ Наука
тер.,ДСК Каменка
кв-л,"222"
кв-л,"145"
кв-л,"760"
кв-л,"45"
тер.,ДСК Белгатой
кв-л,"28"
кв-л,"61"
тер.,СНТ Ветеран-2
кв-л,"236"
кв-л,"164"
кв-л,"167"
кв-л,"176"
кв-л,"253"
кв-л,"121"
кв-л,"259"
тер.,СНТ Литератор
кв-л,"413"
кв-л,"141"
тер. СНТ,Весна
тер.,СНТ Волна
кв-л,"78"
кв-л,"790"
кв-л,"46"
тер.,СНТ Алмаз
кв-л,"127"
тер.,ДНТ Звезда-95
кв-л,"51"
тер.,ДСК Ели
кв-л,"266"
тер.,СНТ Десна
кв-л,"7"
кв-л,"9"
тер.,СНТ Кристалл-5
кв-л,"21"
кв-л,"157"
кв-л,"804"
кв-л,"346"
кв-л,"157"
кв-л,"322"
тер.,СНТ Металлург-3
тер. СНТ,Поляны
кв-л,"46"
кв-л,"312"
кв-л,"152"
кв-л,"21"
кв-л,"22"
кв-л,"23"
тер.,СНТ Дорожник-1
кв-л,"93"
кв-л,"76"
тер.,СНТ Богородское-2
тер.,СНТ Ворсино
тер.,СНТ Лукошкино
тер.,СНТ Космос
кв-л,"110"
кв-л,"94"
тер.,СНТ Мечта
кв-л,"86"
кв-л,"321"
кв-л,"355"
тер.,ЖСК Сепягино
тер.,ДСК Сосновый бор
кв-л,"43"
кв-л,"48"
парк,Дюссельдорфский
кв-л,"590"
сквер,Гужона
кв-л,"90"
сквер,Ополченцев Замоскворечья
тер.,ДСПК Шурави
кв-л,"47"
кв-л,"5-й Капотня"
кв-л,"90а Грайвороново"
тер.,СНТ Исток
тер.,СНТ Апиком
тер.,СНТ Елочки
сквер,Ветеранов
тер.,Косинская эстакада
наб.,Марка Шагала
тер.,СНТ Солнечная поляна-3
тер,СНТ Победа
тер.,СК Товарищество Мешково-2
тер.,Нагатинская Пойма
кв-л,"4-й Капотня"
тер. СНТ,Радость
тер. СНТ,Светлая поляна
тер.,Воронцовский Парк
тер. СНТ,Рассвет кв-л N 516
кв-л,"46"
тер. СНТ,Тринити-Сад
кв-л,"95-й Волжский Бульвар"
тер,СНТ Раздолье
тер.,ДСК Актер
тер.,ТПУ Хорошевская
тер.,Природного комплекса N 14а
кв-л,"300"
тер,СНТ Луч ВОГ
тер.,СНТ Горнево
кв-л,"310"
кв-л,"320"
кв-л,"330"
кв-л,"24"
кв-л,"340"
тер.,СНТ Починки
кв-л,"113а Волжский Бульвар"
тер.,ДСК Север
кв-л,"350"
кв-л,"360"
кв-л,"370"
кв-л,"380"
кв-л,"390"
тер,СНТ Лира
тер.,СНТ Василек
кв-л,"400"
кв-л,"410"
кв-л,"420"
тер.,СНТ Восход
кв-л,"430"
кв-л,"440"
тер,СНТ Троица
кв-л,"450"
кв-л,"460"
кв-л,"470"
кв-л,"480"
тер.,СНТ Геолог
кв-л,"490"
кв-л,"200"
кв-л,"530"
тер.,СНТ Богородское-3
тер.,ДСПК Шарапово
кв-л,"88"
кв-л,"520"
кв-л,"51"
кв-л,"510"
тер,СНТ Березка
тер,СНТ Рязаново
кв-л,"500"
тер.,СНТ Ветеран МО
тер.,СНТ Импульс
кв-л,"100"
тер.,СНТ Дружный
кв-л,"110"
кв-л,"120"
наб.,Курьяновская
кв-л,"62"
кв-л,"130"
тер.,СНТ Березка СМУ-16
тер.,СНТ Курилово
кв-л,"2"
тер.,СНТ Источник
кв-л,"4"
кв-л,"5"
кв-л,"6"
тер. СНТ,N4 ПХМЗ
кв-л,"73"
тер.,СНТ Бабенки
тер.,СНТ Лира
кв-л,"7"
тер.,СНТ Культура
кв-л,"8"
тер.,СНТ Клен
тер.,Внуково Аэропорт
тер.,СНТ Ветеран
тер.,СНТ Афганец
тер.,СПК Киселево
тер.,СНТ 55 лет Победы
кв-л,"3-й Капотня"
кв-л,"10"
кв-л,"9"
тер.,СНТ Вишняки
кв-л,"11"
тер.,ДНП Новость
тер.,СНТ Березка
тер.,ДСПК Надежда
тер.,СНТ Витамины
тер,ТСН Нефтяник
тер.,СНТ Березки
кв-л,"67"
тер.,ДСК Максимово поле
тер.,СНТ Механизатор
тер,СНТ Юпитер
тер.,СНТ Березка
тер,СНТ Рассудово
кв-л,"105"
тер.,СНТ Рассудово-2
снт,Электрик
кв-л,"565"
тер.,СНТ ГДРЗ Рассудово
тер,СНТ Заря-50
снт,Союз
кв-л,"58"
тер,жк Дубровка
тер.,СНТ Лесная улица
тер,ТСН Солнечный
кв-л,"60"
снт,НП Искра-4
тер,СНТ Лесная Поляна Госстроя РФ
тер.,СНТ Таможенник
тер.,СНТ Березка-1
тер,СНТ Фронтовики-Ю.А.О.
тер,Мкр. Ракитки СНТ Ракитки
тер,СНТ Учитель
кв-л,"215"
тер,СНТ Родник-1
тер,Мкр. Ракитки СНТ Родник-1
мкр,Санаторий
кв-л,"20"
снт,Голохвастово
тер,ОНТ Энергия
тер,СНТ Яхонт
снт,Витязь
тер,Мкр. Ракитки СНТ Ракитки-1
тер.,ТСН СНТ Фронтовики ЮЗАО
тер.,СНТ Рассудово Росконтракта
тер,ГПК Восход
тер,СНТ Дорожник
тер,ДНП Бельгийская деревня
кв-л,"236"
тер,СНТ Меридиан
тер.,СНТ Искра-3
гск,Гаражник
тер,СНТ Сокол
тер,СНТ Озон
тер,ГСПК Олимпийский
гск,Любитель
тер. СНТ,Рассвет-1
тер.,ДСПК Шишкино
гск,Марушкино 13
тер.,СНТ Фронтовики СВАО
тер.,СНТ Березка
тер.,СНТ Искан
тер.,СНТ Плесково-ТСХА
кв-л,"12"
тер,ГСПК Олимпийский-2
тер.,СНТ Приозерное
тер,СНТ Дружба
гск,Кардан
кв-л,Южный
кв-л,"52"
кв-л,"13"
тер.,СНТ Металлург-2
тер.,СНТ Бабенки-1
тер,СНТ Дружба
тер,СНТ Березки
кв-л,"50"
гск,Минвнешторг
кв-л,"12"
кв-л,"21"
тер.,СНТ Ожигово-26
кв-л,"11"
гск,Старт 2
кв-л,"101"
кв-л,"49"
тер,СНТ Славянка
тер,СНТ Ветеран-1А
кв-л,"102"
тер.,СНТ Радуга-В
кв-л,"10"
кв-л,"656"
кв-л,"103"
кв-л,"104"
кв-л,"106"
тер,СНТ Юннат-2
кв-л,"655"
кв-л,"107"
тер.,СНТ Искра-1
кв-л,"108"
кв-л,"42"
кв-л,"9"
кв-л,"650"
кв-л,"8"
кв-л,"47"
кв-л,"110"
тер.,СНТ Дубки
кв-л,"86"
кв-л,"112"
тер,СНТ Заречье
кв-л,"645"
кв-л,"640"
тер.,СНТ Электрик
кв-л,"46"
тер,СНТ Ветеран-1
тер,ДНП Витязь
кв-л,"114"
кв-л,"7"
тер.,СНТ Финтроп-С
тер.,СНТ Имени 70-летия ВЛКСМ
кв-л,"45"
кв-л,"87"
кв-л,"638"
кв-л,"44"
кв-л,"6"
кв-л,"116"
снт,Ракитки
кв-л,"88"
кв-л,"64"
тер.,СНТ Березка-6
кв-л,"344"
кв-л,"637"
кв-л,"120"
кв-л,"42"
кв-л,"5"
кв-л,"92"
кв-л,"70"
тер.,СНТ Пахра
тер,ДСК Конверсия
кв-л,"343"
кв-л,"41"
тер.,СНТ Ожигово-2
кв-л,"90"
кв-л,"40"
кв-л,"636"
кв-л,"30"
кв-л,"122"
кв-л,"125"
тер. СНТ,Поляны
кв-л,"79"
кв-л,"72"
кв-л,"124"
кв-л,"340"
кв-л,"91"
кв-л,"10"
тер,СНТ Ветеран-2А
кв-л,"39"
кв-л,"635"
кв-л,"13"
кв-л,"31"
кв-л,"31"
кв-л,"70"
тер.,ТСН Рассказовка
кв-л,"73"
кв-л,"76"
кв-л,"630"
кв-л,"2"
кв-л,"204"
тер,СНТ Сокол-2
кв-л,"126"
кв-л,"14"
кв-л,"128"
кв-л,"7"
кв-л,"74"
кв-л,"100"
кв-л,"328"
кв-л,"15"
тер,СНТ Ветеран-2
кв-л,"620"
кв-л,"38"
кв-л,"130"
тер.,СНТ Дубки Минфина РФ
кв-л,"618"
